lucode,CLASS_NAME,Kc_1,Kc_2,Kc_3,Kc_4,Kc_5,Kc_6,Kc_7,Kc_8,Kc_9,Kc_10,Kc_11,Kc_12
206,Carrots,0.7,0.7,0.7,0.7,0.7,0.875,1.05,1.05,1.016666667,0.983333333,0.95,0.7
216,Peppers,0.6,0.6,0.6,0.6,0.6,0.825,1.05,1.05,1,0.95,0.9,0.6
222,Squash,0.5,0.5,0.5,0.5,0.5,0.725,0.95,0.95,0.883333333,0.816666667,0.75,0.5
225,Dbl Crop WinWht/Corn,0.775,0.775,0.775,0.775,0.775,0.9875,1.2,1.2,0.9,0.6,0.3,0.775
226,Dbl Crop Oats/Corn,0.775,0.775,0.775,0.775,0.775,0.9875,1.2,1.2,0.9,0.6,0.3,0.775
228,Dbl Crop Triticale/Corn,0.775,0.775,0.775,0.775,0.775,0.9875,1.2,1.2,0.9,0.6,0.3,0.775
229,Pumpkins,0.5,0.5,0.5,0.5,0.5,0.75,1,1,0.933333333,0.866666667,0.8,0.5
237,Dbl Crop Barley/Corn,0.775,0.775,0.775,0.775,0.775,0.9875,1.2,1.2,0.9,0.6,0.3,0.775
243,Cabbage,0.7,0.7,0.7,0.7,0.7,0.875,1.05,1.05,1.016666667,0.983333333,0.95,0.7
250,Cranberries,0.3,0.3,0.3,0.3,0.3,0.675,1.05,1.05,0.866666667,0.683333333,0.5,0.3
